City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
53,Mandalgovi,MN,2022-05-28 20:56:18,45.7625,106.2708,39.24,56,93,13.78,Clouds
54,Felanitx,ES,2022-05-28 20:56:19,39.4696,3.1483,70.95,69,0,8.3,Clear
55,Hithadhoo,MV,2022-05-28 20:56:19,-0.6,73.0833,83.86,68,86,10.47,Clouds
56,Orange,US,2022-05-28 20:56:19,33.7,-117.7675,72.86,66,100,10.36,Clouds
57,Kirkwall,GB,2022-05-28 20:56:20,58.9848,-2.9587,46.45,76,100,18.41,Clouds
58,Katsuura,JP,2022-05-28 20:56:20,35.1333,140.3,67.98,81,100,5.5,Clouds
59,Cabo San Lucas,MX,2022-05-28 20:52:40,22.8909,-109.9124,94.6,54,0,10.09,Clear
60,Lavrentiya,RU,2022-05-28 20:56:20,65.5833,-171.0,35.1,96,99,3.11,Clouds
61,Clyde River,CA,2022-05-28 20:56:21,70.4692,-68.5914,28.63,80,100,11.5,Clouds
62,Te Anau,NZ,2022-05-28 20:56:22,-45.4167,167.7167,43.9,91,100,1.77,Clouds
63,Upernavik,GL,2022-05-28 20:56:22,72.7868,-56.1549,28.58,79,88,8.63,Clouds
64,Teya,RU,2022-05-28 20:56:22,60.3778,92.6267,45.75,63,70,3.96,Clouds
65,Khatanga,RU,2022-05-28 20:56:23,71.9667,102.5,31.82,92,100,11.83,Clouds
66,Tulum,MX,2022-05-28 20:56:23,20.2167,-87.4667,86.2,58,97,8.81,Clouds
67,Goderich,CA,2022-05-28 20:56:05,43.7501,-81.7165,54.91,82,99,6.91,Clouds
68,Bredy,RU,2022-05-28 20:56:24,52.4153,60.3411,55.35,75,100,10.71,Clouds
69,Beringovskiy,RU,2022-05-28 20:56:24,63.05,179.3167,40.19,79,14,5.35,Clouds
70,Ahipara,NZ,2022-05-28 20:56:24,-35.1667,173.1667,62.28,71,100,20.51,Clouds
71,Rikitea,PF,2022-05-28 20:56:25,-23.1203,-134.9692,76.08,71,1,7.45,Clear
72,Inhambane,MZ,2022-05-28 20:56:25,-23.865,35.3833,68.61,79,0,6.35,Clear
73,Port Alfred,ZA,2022-05-28 20:54:12,-33.5906,26.891,59.18,91,9,1.01,Clear
74,Ulaangom,MN,2022-05-28 20:56:26,49.9811,92.0667,62.11,35,27,3.83,Clouds
75,Hilo,US,2022-05-28 20:55:02,19.7297,-155.09,85.28,87,98,5.99,Clouds
76,Slidell,US,2022-05-28 20:55:26,30.2752,-89.7812,88.3,45,0,5.01,Clear
77,Neya,RU,2022-05-28 20:56:27,58.2972,43.8681,44.1,97,77,4.97,Clouds
78,Quatre Cocos,MU,2022-05-28 20:56:27,-20.2078,57.7625,75.31,74,48,19.8,Rain
79,Ilulissat,GL,2022-05-28 20:56:27,69.2167,-51.1,34.09,86,100,10.67,Clouds
80,Pevek,RU,2022-05-28 20:56:28,69.7008,170.3133,30.38,71,91,4.25,Clouds
81,Groningen,NL,2022-05-28 20:54:17,53.25,6.75,52.02,85,75,9.22,Rain
82,Valga,EE,2022-05-28 20:56:28,57.7778,26.0473,45.0,86,100,4.27,Clouds
83,Aksarka,RU,2022-05-28 20:56:29,66.5606,67.7975,46.15,55,5,18.16,Clear
84,Aksu,CN,2022-05-28 20:56:29,41.1231,80.2644,77.4,23,90,14.25,Clouds
85,Vaini,TO,2022-05-28 20:56:29,-21.2,-175.2,78.96,94,75,6.91,Clouds
86,Pochutla,MX,2022-05-28 20:56:30,15.7432,-96.4661,77.81,79,100,6.38,Clouds
87,Ponta Do Sol,PT,2022-05-28 20:57:30,32.6667,-17.1,68.0,76,38,7.0,Clouds
88,Tokur,RU,2022-05-28 20:57:31,53.1333,132.9,39.51,91,100,3.2,Rain
89,Norman Wells,CA,2022-05-28 20:56:55,65.282,-126.8329,51.84,43,75,10.36,Clouds
90,Souillac,MU,2022-05-28 20:57:31,-20.5167,57.5167,75.58,69,40,14.97,Clouds
91,Faya,SA,2022-05-28 20:57:32,18.3851,42.4509,68.52,43,10,2.01,Rain
92,Georgetown,MY,2022-05-28 20:57:32,5.4112,100.3354,80.53,88,20,5.01,Clouds
93,Morondava,MG,2022-05-28 20:57:33,-20.2833,44.2833,72.99,59,0,9.64,Clear
94,North Bend,US,2022-05-28 20:54:46,43.4065,-124.2243,56.25,97,100,23.02,Mist
95,Bredasdorp,ZA,2022-05-28 20:57:33,-34.5322,20.0403,58.42,72,2,14.38,Clear
96,Kvareli,GE,2022-05-28 20:57:34,41.9524,45.8151,61.65,63,2,6.44,Clear
97,Cuamba,MZ,2022-05-28 20:57:34,-14.8031,36.5372,60.12,88,0,3.65,Clear
98,Saint-Philippe,RE,2022-05-28 20:57:34,-21.3585,55.7679,67.59,67,50,12.88,Clouds
99,Castro,BR,2022-05-28 20:57:35,-24.7911,-50.0119,60.76,75,21,4.94,Clouds
100,Inirida,CO,2022-05-28 20:57:35,3.8653,-67.9239,81.23,85,67,1.28,Clouds
101,Coihaique,CL,2022-05-28 20:54:01,-45.5752,-72.0662,39.81,65,20,0.0,Clouds
102,Karasjok,NO,2022-05-28 20:57:35,69.4719,25.5112,47.62,81,59,5.91,Clouds
103,Puerto Escondido,MX,2022-05-28 20:57:36,15.85,-97.0667,80.91,77,100,14.03,Clouds
104,Xinan,CN,2022-05-28 20:57:36,26.72,119.8556,69.4,96,100,2.62,Clouds
105,Edd,ER,2022-05-28 20:57:37,13.9297,41.6925,88.66,63,69,9.66,Clouds
106,Barra Do Garcas,BR,2022-05-28 20:54:09,-15.89,-52.2567,86.58,42,40,4.61,Clouds
107,Northam,GB,2022-05-28 20:57:37,51.0333,-4.2167,54.61,84,50,9.64,Clouds
108,Great Yarmouth,GB,2022-05-28 20:57:38,52.6083,1.7305,52.05,76,4,13.71,Clear
109,Yumen,CN,2022-05-28 20:57:38,40.2833,97.2,61.56,48,92,2.48,Clouds
110,Nanpiao,CN,2022-05-28 20:57:39,41.0982,120.7479,63.16,68,100,4.32,Clouds
111,Darnah,LY,2022-05-28 20:57:39,32.767,22.6367,75.42,57,59,6.13,Clouds
112,Setermoen,NO,2022-05-28 20:57:40,68.861,18.3486,49.96,71,20,1.99,Clouds
113,Mount Isa,AU,2022-05-28 20:57:40,-20.7333,139.5,47.97,71,4,0.0,Clear
114,Lorengau,PG,2022-05-28 20:57:40,-2.0226,147.2712,79.39,75,59,1.95,Clouds
115,Lebu,CL,2022-05-28 20:57:41,-37.6167,-73.65,48.02,67,2,20.02,Clear
116,Saint George,US,2022-05-28 20:57:42,37.1041,-113.5841,91.63,11,92,10.0,Clouds
117,Kumo,NG,2022-05-28 20:57:42,10.0447,11.2122,87.53,36,0,10.2,Clear
118,Kaitangata,NZ,2022-05-28 20:57:42,-46.2817,169.8464,43.27,83,100,3.04,Clouds
119,Ossora,RU,2022-05-28 20:57:43,59.2353,163.0719,38.75,93,99,3.18,Clouds
120,Coahuayana,MX,2022-05-28 20:57:43,18.7333,-103.6833,90.72,48,90,8.66,Clouds
121,Taltal,CL,2022-05-28 20:57:43,-25.4,-70.4833,59.81,77,23,5.73,Clouds
122,Puerto Del Rosario,ES,2022-05-28 20:57:44,28.5004,-13.8627,71.35,60,0,9.22,Clear
123,Sabya,SA,2022-05-28 20:57:44,17.1495,42.6254,89.22,56,7,3.33,Clear
124,Airai,TL,2022-05-28 20:57:44,-8.9266,125.4092,57.18,87,17,1.92,Clouds
125,Atbasar,KZ,2022-05-28 20:57:45,51.8,68.3333,55.87,70,15,5.57,Clouds
126,Carnarvon,AU,2022-05-28 20:57:45,-24.8667,113.6333,67.06,66,100,21.85,Clouds
127,Puerto Lleras,CO,2022-05-28 20:57:46,3.0223,-73.4044,79.93,85,75,1.68,Clouds
128,Nautla,MX,2022-05-28 20:57:46,20.2167,-96.7833,87.82,57,68,14.27,Clouds
129,Vardo,NO,2022-05-28 20:57:46,70.3705,31.1107,40.98,93,40,0.0,Clouds
130,Dharchula,IN,2022-05-28 20:57:47,29.85,80.5333,68.61,75,73,2.13,Clouds
131,Lianzhou,CN,2022-05-28 20:57:47,24.7811,112.3825,73.94,98,99,3.94,Clouds
132,Mongu,ZM,2022-05-28 20:57:48,-15.2484,23.1274,59.49,42,0,5.53,Clear
133,Takoradi,GH,2022-05-28 20:57:48,4.8845,-1.7554,79.34,85,92,7.9,Clouds
134,Sur,OM,2022-05-28 20:57:48,22.5667,59.5289,86.47,61,0,10.94,Clear
135,New Norfolk,AU,2022-05-28 20:57:49,-42.7826,147.0587,38.7,92,80,0.65,Clouds
136,Padang,ID,2022-05-28 20:58:49,-0.9492,100.3543,77.02,79,100,3.06,Clouds
137,Kavaratti,IN,2022-05-28 20:58:49,10.5669,72.642,81.39,79,81,9.69,Clouds
138,Bethausen,RO,2022-05-28 20:58:50,45.8331,21.9528,53.8,87,99,4.34,Rain
139,Lovrenc Na Pohorju,SI,2022-05-28 20:58:50,46.5406,15.3931,52.32,95,100,1.19,Clouds
140,Lompoc,US,2022-05-28 20:58:50,34.6391,-120.4579,73.78,72,75,18.01,Clouds
141,Booue,GA,2022-05-28 20:58:51,-0.0921,11.9385,74.59,92,93,1.16,Rain
142,Mitsamiouli,KM,2022-05-28 20:58:51,-11.3847,43.2844,78.44,71,29,6.73,Clouds
143,Yabrud,SY,2022-05-28 20:58:52,33.9674,36.6574,66.02,31,12,2.35,Clouds
144,Dombarovskiy,RU,2022-05-28 20:58:52,50.7587,59.5386,57.87,63,83,9.33,Clouds
145,Beira,MZ,2022-05-28 20:58:53,-19.8436,34.8389,69.94,74,0,4.47,Clear
146,Tiksi,RU,2022-05-28 20:58:53,71.6872,128.8694,30.76,95,100,2.89,Clouds
147,Hermanus,ZA,2022-05-28 20:58:53,-34.4187,19.2345,60.8,81,5,18.66,Rain
148,Namibe,AO,2022-05-28 20:58:54,-15.1961,12.1522,64.76,84,64,6.46,Clouds
149,Ngunguru,NZ,2022-05-28 20:58:54,-35.6167,174.5,62.49,68,100,22.88,Rain
150,Leningradskiy,RU,2022-05-28 20:58:54,69.3833,178.4167,31.1,86,97,2.77,Clouds
151,Pimenteiras,BR,2022-05-28 20:58:55,-6.2453,-41.4192,77.02,63,99,3.62,Clouds
152,Kalachinsk,RU,2022-05-28 20:58:55,55.0529,74.5751,59.27,53,100,10.16,Clouds
153,Barrow,US,2022-05-28 20:58:55,71.2906,-156.7887,32.07,91,99,8.39,Clouds
154,Sadat,IN,2022-05-28 20:58:56,25.6833,83.2833,87.93,43,2,5.48,Clear
155,Batagay-Alyta,RU,2022-05-28 20:58:56,67.8006,130.4114,29.44,86,27,4.36,Clouds
156,Sindor,RU,2022-05-28 20:58:56,62.8629,51.8905,49.69,91,73,7.54,Clouds
157,Kirya,TZ,2022-05-28 20:58:57,-3.9167,37.4833,69.17,75,76,7.94,Clouds
158,Bandarbeyla,SO,2022-05-28 20:58:57,9.4942,50.8122,80.24,81,35,24.32,Clouds
159,Dargaville,NZ,2022-05-28 20:58:58,-35.9333,173.8833,60.46,69,100,15.3,Clouds
160,Vila Velha,BR,2022-05-28 20:55:12,-20.3297,-40.2925,75.15,83,0,4.61,Clear
161,Mahebourg,MU,2022-05-28 20:58:58,-20.4081,57.7,75.49,69,40,14.97,Clouds
162,Ribeira Grande,PT,2022-05-28 20:58:58,38.5167,-28.7,61.2,63,20,11.5,Clouds
163,Skjervoy,NO,2022-05-28 20:58:59,70.0311,20.9714,51.8,86,99,7.74,Clouds
164,Bath,GB,2022-05-28 20:55:32,51.3779,-2.3591,56.77,75,8,5.32,Clear
165,Santa Lucia,ES,2022-05-28 20:58:59,27.9117,-15.5407,63.72,60,75,13.8,Clouds
166,Koutiala,ML,2022-05-28 20:59:00,12.3917,-5.4642,95.72,25,37,6.08,Clouds
167,Mandera,KE,2022-05-28 20:59:00,3.9366,41.867,81.59,55,69,14.54,Clouds
168,Fort Frances,CA,2022-05-28 20:56:59,48.5999,-93.4003,68.05,66,87,1.99,Clouds
169,Sorland,NO,2022-05-28 20:59:01,67.667,12.6934,44.46,91,100,6.11,Clouds
170,Planeta Rica,CO,2022-05-28 20:59:01,8.4147,-75.5883,83.98,80,93,8.5,Clouds
171,Martapura,ID,2022-05-28 20:59:01,-3.4167,114.85,77.09,100,100,1.14,Clouds
172,Hami,CN,2022-05-28 20:56:21,42.8,93.45,73.53,14,4,7.94,Clear
173,Champua,IN,2022-05-28 20:59:02,22.0833,85.6667,85.8,38,95,2.19,Clouds
174,General Roca,AR,2022-05-28 20:59:02,-39.0333,-67.5833,48.61,27,0,10.58,Clear
175,Labuhan,ID,2022-05-28 20:59:03,-6.8844,112.2051,78.62,81,26,1.57,Clouds
176,Kruisfontein,ZA,2022-05-28 20:59:03,-34.0033,24.7314,56.88,91,1,7.49,Clear
177,Longyearbyen,SJ,2022-05-28 20:59:04,78.2186,15.6401,48.04,66,0,3.44,Clear
178,Hofn,IS,2022-05-28 20:59:04,64.2539,-15.2082,49.96,75,0,8.46,Clear
179,Kiama,AU,2022-05-28 20:59:04,-34.6833,150.8667,52.38,84,10,5.99,Clear
180,Plettenberg Bay,ZA,2022-05-28 20:59:05,-34.0527,23.3716,58.39,84,3,5.93,Clear
181,Kayerkan,RU,2022-05-28 20:59:05,69.3497,87.7602,28.53,92,22,13.4,Clouds
182,Hastings,GB,2022-05-28 20:59:05,50.8552,0.5729,54.27,82,79,11.3,Clouds
183,Marsh Harbour,BS,2022-05-28 20:59:06,26.5412,-77.0636,81.05,71,84,9.95,Rain
184,Havelock,US,2022-05-28 21:00:06,34.8791,-76.9013,82.98,77,39,5.01,Clouds
185,Hede,CN,2022-05-28 21:00:07,33.7681,120.2517,64.44,95,92,7.58,Clouds
186,Ilam,NP,2022-05-28 21:00:08,26.9167,87.9167,67.1,86,70,3.31,Rain
187,Praia Da Vitoria,PT,2022-05-28 21:00:09,38.7333,-27.0667,61.75,70,93,14.18,Clouds
188,Partizanskoye,RU,2022-05-28 21:00:10,55.5006,94.39,43.27,60,90,0.67,Clouds
189,Olafsvik,IS,2022-05-28 21:00:11,64.8945,-23.7142,50.67,71,100,9.57,Clouds
190,Provideniya,RU,2022-05-28 21:00:11,64.3833,-173.3,44.37,74,24,6.33,Clouds
191,Basay,PH,2022-05-28 21:00:12,9.4087,122.64,79.93,80,86,2.89,Clouds
192,Camacha,PT,2022-05-28 21:00:15,33.0833,-16.3333,63.82,72,75,11.5,Clouds
193,Alanya,TR,2022-05-28 21:00:16,36.5438,31.9998,78.08,52,6,2.75,Clear
194,Grindavik,IS,2022-05-28 21:00:19,63.8424,-22.4338,50.47,81,75,19.57,Clouds
195,Saint-Francois,FR,2022-05-28 21:00:21,46.4154,3.9054,58.44,51,0,9.22,Clear
196,Gazojak,TM,2022-05-28 21:00:21,41.1875,61.4036,71.71,24,0,9.06,Clear
197,Sooke,CA,2022-05-28 21:00:22,48.3746,-123.7276,56.52,81,100,6.89,Rain
198,Taoudenni,ML,2022-05-28 21:00:23,22.6783,-3.9836,96.96,18,99,15.14,Clouds
199,Kavieng,PG,2022-05-28 21:00:24,-2.5744,150.7967,80.89,74,97,4.9,Clouds
200,Tromso,NO,2022-05-28 21:00:24,69.6496,18.957,50.02,57,20,8.05,Clouds
201,Hobyo,SO,2022-05-28 21:00:25,5.3505,48.5268,78.26,82,46,23.29,Clouds
202,Macheng,CN,2022-05-28 21:00:25,31.1783,115.0319,68.47,95,99,3.89,Clouds
203,Laguna,US,2022-05-28 21:00:26,38.421,-121.4238,79.18,43,0,16.11,Clear
204,Simao,CN,2022-05-28 21:00:26,22.7886,100.9748,64.62,97,15,1.99,Clouds
205,Traralgon,AU,2022-05-28 21:00:27,-38.1833,146.5333,40.68,90,12,1.9,Clouds
206,Kaeo,NZ,2022-05-28 21:00:27,-35.1,173.7833,63.32,76,100,18.52,Clouds
207,Tolaga Bay,NZ,2022-05-28 21:00:28,-38.3667,178.3,52.83,77,47,3.65,Clouds
208,Tiarei,PF,2022-05-28 21:00:28,-17.5333,-149.3333,84.22,76,17,12.46,Rain
209,Seinajoki,FI,2022-05-28 21:00:29,62.7945,22.8282,47.34,80,20,2.3,Clouds
210,Turukhansk,RU,2022-05-28 21:00:29,65.8167,87.9833,44.56,68,2,6.62,Clear
211,Kot Isa Khan,IN,2022-05-28 21:00:29,30.95,75.1333,89.13,39,1,7.54,Clear
212,Bozoum,CF,2022-05-28 21:00:30,6.3193,16.3799,68.99,91,45,2.24,Rain
213,Janakpur,NP,2022-05-28 21:00:30,26.7183,85.9065,83.5,52,45,7.83,Clouds
214,Almeirim,BR,2022-05-28 21:00:31,-1.5233,-52.5817,77.45,92,83,3.53,Clouds
215,Saint Anthony,US,2022-05-28 21:00:31,45.0205,-93.218,89.35,48,75,12.66,Clouds
216,Paoua,CF,2022-05-28 21:00:32,7.2427,16.4406,74.82,70,78,6.35,Clouds
217,San Blas,MX,2022-05-28 21:00:32,21.5167,-105.2667,102.09,61,42,8.39,Clouds
218,Saint Paul,US,2022-05-28 20:58:26,44.9444,-93.0933,89.98,52,0,13.8,Clear
219,Vostok,RU,2022-05-28 21:00:33,46.4856,135.8833,51.6,86,100,3.87,Clouds
220,Luderitz,NA,2022-05-28 21:00:33,-26.6481,15.1594,54.63,88,0,8.37,Clear
221,Tomatlan,MX,2022-05-28 21:00:34,19.9333,-105.25,89.04,50,27,11.1,Clouds
222,Muli,MV,2022-05-28 21:00:34,2.9167,73.5667,83.64,73,25,15.39,Clouds
223,Kodiak,US,2022-05-28 21:00:35,57.79,-152.4072,60.67,48,19,3.15,Clouds
224,Sidhi,IN,2022-05-28 21:00:35,24.4167,81.8833,86.83,39,12,3.13,Clouds
225,Yeppoon,AU,2022-05-28 21:00:35,-23.1333,150.7333,56.98,79,0,5.84,Clear
226,Puteyets,RU,2022-05-28 21:00:36,65.1716,57.091,58.89,65,70,8.21,Clouds
227,Berezovyy,RU,2022-05-28 21:00:36,51.6667,135.7,42.73,98,100,1.83,Clouds
228,Nouadhibou,MR,2022-05-28 21:00:36,20.931,-17.0347,66.45,85,6,20.56,Clear
229,Suzhou,CN,2022-05-28 21:00:03,31.3114,120.6181,67.12,96,99,3.76,Rain
230,Karratha,AU,2022-05-28 21:01:37,-20.7377,116.8463,74.25,85,100,14.09,Rain
231,Manching,DE,2022-05-28 21:01:37,48.7166,11.4939,54.12,62,15,2.3,Clouds
232,Bandrele,YT,2022-05-28 21:01:38,-12.9067,45.1914,76.75,88,20,4.61,Clouds
233,Hanna,CA,2022-05-28 21:00:47,51.6334,-111.9018,65.86,31,58,5.99,Clouds
234,Sao Joao Da Barra,BR,2022-05-28 21:01:38,-21.6403,-41.0511,73.18,79,100,11.86,Clouds
235,Hurghada,EG,2022-05-28 21:00:29,27.2574,33.8129,83.73,34,0,15.17,Clear
236,Mareeba,AU,2022-05-28 21:01:39,-17.0,145.4333,57.43,95,72,2.19,Clouds
237,Baruun-Urt,MN,2022-05-28 21:01:39,46.6806,113.2792,42.84,61,100,15.7,Clouds
238,Cap Malheureux,MU,2022-05-28 21:01:11,-19.9842,57.6142,72.46,73,3,5.01,Clear
239,Sola,VU,2022-05-28 21:01:40,-13.8833,167.55,80.46,74,88,3.56,Clouds
240,Dalby,AU,2022-05-28 21:01:40,-27.1833,151.2667,50.99,98,37,1.01,Clouds
241,Narsaq,GL,2022-05-28 21:01:40,60.9167,-46.05,55.62,50,14,5.79,Clouds
242,Chase,CA,2022-05-28 21:01:41,50.8165,-119.6857,69.08,32,99,2.64,Clouds
243,Ararat,AM,2022-05-28 21:01:41,39.8317,44.7049,71.94,42,40,5.68,Clouds
244,Coquimbo,CL,2022-05-28 21:01:41,-29.9533,-71.3436,57.38,76,4,7.31,Clear
245,Ulladulla,AU,2022-05-28 21:01:42,-35.35,150.4667,51.26,87,18,7.23,Clouds
246,Caravelas,BR,2022-05-28 21:01:42,-17.7125,-39.2481,72.54,81,54,5.17,Clouds
247,Walvis Bay,NA,2022-05-28 21:01:43,-22.9575,14.5053,55.09,85,0,11.81,Clear
248,Rach Gia,VN,2022-05-28 21:01:43,10.0167,105.0833,80.4,83,100,18.7,Clouds
249,Los Llanos De Aridane,ES,2022-05-28 21:01:44,28.6585,-17.9182,65.95,77,100,6.91,Clouds
250,Breytovo,RU,2022-05-28 21:01:44,58.2993,37.8617,48.15,88,50,10.29,Clouds
251,Tasiilaq,GL,2022-05-28 21:01:44,65.6145,-37.6368,41.16,95,100,28.54,Rain
252,Sorrento,IT,2022-05-28 21:00:19,40.626,14.3744,72.88,95,36,4.05,Clouds
253,Fengcheng,CN,2022-05-28 21:01:45,40.4536,124.0717,58.6,92,88,5.3,Clouds
254,Pangai,TO,2022-05-28 21:01:46,-19.8,-174.35,79.59,85,94,16.06,Rain
255,At-Bashi,KG,2022-05-28 21:01:46,41.1702,75.8106,46.36,89,100,5.88,Clouds
256,Maneadero,MX,2022-05-28 21:01:46,31.7167,-116.5667,69.03,59,30,12.17,Clouds
257,Lucapa,AO,2022-05-28 21:01:47,-8.4192,20.7447,68.11,41,3,2.53,Clear
258,Smithers,CA,2022-05-28 21:01:47,54.7804,-127.1743,51.44,76,100,6.51,Rain
259,Atherton,GB,2022-05-28 21:01:47,53.5237,-2.4935,57.34,73,91,1.99,Clouds
260,Harrison,US,2022-05-28 21:01:48,30.4091,-89.0436,84.22,53,0,10.36,Clear
261,Tura,IN,2022-05-28 21:01:48,25.5198,90.2201,71.55,88,1,4.23,Clear
262,Bengkulu,ID,2022-05-28 21:01:49,-3.8004,102.2655,75.97,83,99,6.38,Clouds
263,Erzin,TR,2022-05-28 21:01:49,36.9559,36.2,73.02,54,9,1.92,Clear
264,Dingle,PH,2022-05-28 21:01:49,10.9995,122.6711,76.28,88,99,1.99,Clouds
265,Yar-Sale,RU,2022-05-28 21:01:50,66.8333,70.8333,41.36,73,8,17.67,Clear
266,Dunedin,NZ,2022-05-28 21:00:49,-45.8742,170.5036,46.8,68,100,1.99,Clouds
267,Viedma,AR,2022-05-28 21:01:50,-40.8135,-62.9967,43.77,61,20,12.91,Rain
268,Mogadishu,SO,2022-05-28 21:01:50,2.0371,45.3438,79.86,81,28,16.53,Clouds
269,Gerash,IR,2022-05-28 21:01:51,27.6652,54.1371,82.24,11,0,7.83,Clear
