City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Tarrafal,CV,75.99,Clouds,15.2833,-23.7667,Hotel Ixola
570,Gainesville,US,89.78,Clouds,29.6516,-82.3248,Wyndham Garden Gainesville
572,Clemson,US,84.07,Clear,34.6834,-82.8374,Courtyard by Marriott Clemson
577,Korla,CN,76.48,Clear,41.7597,86.1469,Gulisitan Hotel
580,Cartagena,CO,89.22,Clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
581,Bodden Town,KY,86.0,Clouds,19.2833,-81.25,Will T Place
583,Aquiraz,BR,77.18,Clouds,-3.9014,-38.3911,Pousada Rua Camurupim
584,Sukkur,PK,89.47,Haze,27.7052,68.8574,CHEN INN HOTEL
595,Dezhou,CN,75.51,Clouds,37.4486,116.2925,Zhongtai International Hotel
596,Amapa,BR,75.18,Clouds,1.0,-52.0,
597,Odweyne,SO,75.52,Clouds,9.4092,45.064,Eng Hiirey House
599,Harper,LR,79.14,Clear,4.375,-7.7169,Screensaver
601,Sao Felix Do Xingu,BR,79.72,Clouds,-6.6447,-51.995,Rio Xingu Camping
609,Wattegama,LK,76.05,Clouds,6.7989,81.4808,
614,Indian Head,US,79.29,Clouds,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
616,Bachaquero,VE,86.83,Clouds,9.9694,-71.1494,casa de los dinosaurios
617,Dublin,US,77.25,Clouds,37.7021,-121.9358,Larkspur Landing Pleasanton
622,Meulaboh,ID,75.15,Clouds,4.1363,96.1285,Kost Pria
623,Kranuan,TH,80.44,Rain,16.7067,103.0788,Castle Howchow Beach Resort Hotel
627,Dicabisagan,PH,79.07,Clouds,17.0818,122.4157,Nancy Montanes Bernardo
632,Touros,BR,77.94,Clouds,-5.1989,-35.4608,INN NEW HORIZON
637,Ende,ID,75.24,Clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
652,Ridgecrest,US,87.69,Clear,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
655,Nizwa,OM,87.42,Clear,22.9333,57.5333,Orient Apartments
657,Gigmoto,PH,80.44,Clouds,13.7796,124.39,Cj's Travellers Inn
660,Phibun Mangsahan,TH,75.06,Clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
668,Carutapera,BR,76.46,Clouds,-1.195,-46.02,Lidera
669,La Union,PE,81.43,Clouds,-5.4,-80.75,Los Portales
