City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Pontes E Lacerda,BR,5/27/2022 21:22,-15.2261,-59.3353,83.84,39,12,4.38
62,Ahuimanu,US,5/27/2022 21:23,21.4447,-157.8378,82.11,50,20,10.36
63,Shupiyan,IN,5/27/2022 21:19,33.7167,74.8333,54.73,73,0,2.8
64,Salalah,OM,5/27/2022 21:23,17.0151,54.0924,84.29,79,40,6.91
65,Iqaluit,CA,5/27/2022 21:23,63.7506,-68.5145,26.33,86,100,5.75
66,Bambous Virieux,MU,5/27/2022 21:23,-20.3428,57.7575,70.05,88,20,4.61
67,Guerrero Negro,MX,5/27/2022 21:23,27.9769,-114.0611,69.98,58,0,18.7
68,Portland,US,5/27/2022 21:23,45.5234,-122.6762,63.84,66,100,5.99
69,Belmonte,BR,5/27/2022 21:23,-15.8631,-38.8828,72.88,81,40,4.72
70,Alofi,NU,5/27/2022 21:23,-19.0595,-169.9187,80.49,83,59,8.05
71,Geraldton,AU,5/27/2022 21:19,-28.7667,114.6,55.81,88,0,11.5
72,Chapais,CA,5/27/2022 21:23,49.7834,-74.8492,55.18,91,100,4.09
73,Saint-Pierre,RE,5/27/2022 21:23,-21.3393,55.4781,73.08,78,75,14.97
74,Mabamba,TZ,5/27/2022 21:23,-3.5983,30.5019,63.72,91,96,2.53
75,Port Lincoln,AU,5/27/2022 21:23,-34.7333,135.8667,57.9,81,59,11.3
76,Praia Da Vitoria,PT,5/27/2022 21:23,38.7333,-27.0667,66.76,94,75,13.62
77,Thompson,CA,5/27/2022 21:23,55.7435,-97.8558,44.76,70,100,3.44
78,East London,ZA,5/27/2022 21:23,-33.0153,27.9116,60.94,88,2,6.49
79,Busselton,AU,5/27/2022 21:23,-33.65,115.3333,54.34,74,64,6.82
80,Ponta Do Sol,PT,5/27/2022 21:23,32.6667,-17.1,68.63,71,77,5.75
81,Carnarvon,AU,5/27/2022 21:23,-24.8667,113.6333,70.3,67,100,5.73
82,Bani Walid,LY,5/27/2022 21:23,31.7566,13.9942,73.26,54,5,15.86
83,San Quintin,MX,5/27/2022 21:23,30.4833,-115.95,67.03,63,2,16.04
84,Necochea,AR,5/27/2022 21:23,-38.5473,-58.7368,47.84,69,100,8.81
85,Arraial Do Cabo,BR,5/27/2022 21:22,-22.9661,-42.0278,73.26,83,0,14.97
86,Buala,SB,5/27/2022 21:23,-8.145,159.5921,80.15,81,92,4.05
87,Puertollano,ES,5/27/2022 21:23,38.6871,-4.1073,77.16,33,0,2.55
88,Santa Isabel Do Rio Negro,BR,5/27/2022 21:24,-0.4139,-65.0192,77.7,90,95,3.38
89,Udachnyy,RU,5/27/2022 21:24,66.4167,112.4,37.45,64,99,4.27
90,Upernavik,GL,5/27/2022 21:20,72.7868,-56.1549,27.52,81,100,7.58
91,Ilulissat,GL,5/27/2022 21:24,69.2167,-51.1,32.02,86,75,5.75
92,Ornskoldsvik,SE,5/27/2022 21:24,63.2909,18.7153,46.38,88,100,8.72
93,Tual,ID,5/27/2022 21:24,-5.6667,132.75,82.56,75,32,14.58
94,Cockburn Town,TC,5/27/2022 21:24,21.4612,-71.1419,80.29,73,8,17.22
95,Warrnambool,AU,5/27/2022 21:24,-38.3833,142.4833,46.81,76,79,8.81
96,Ahipara,NZ,5/27/2022 21:20,-35.1667,173.1667,58.91,75,78,8.81
97,Bathsheba,BB,5/27/2022 21:24,13.2167,-59.5167,81.21,83,75,11.5
98,Tolaga Bay,NZ,5/27/2022 21:24,-38.3667,178.3,54.18,77,58,3.6
99,Najran,SA,5/27/2022 21:24,17.4924,44.1277,79.45,16,0,2.3
100,Guaruja,BR,5/27/2022 21:24,-23.9931,-46.2564,74.89,26,63,0
101,Moree,AU,5/27/2022 21:24,-29.4667,149.85,56.64,86,66,2.46
102,Lianzhou,CN,5/27/2022 21:24,24.7811,112.3825,73.92,99,100,2.37
103,Banjar,ID,5/27/2022 21:24,-8.19,114.9675,77.58,91,100,1.72
104,Fort Collins,US,5/27/2022 21:21,40.5853,-105.0844,90.19,18,0,15.99
